Model;Scenario;Region;Variable;Unit;DPE;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051
CSTB_DPE;Constant;France;Collective_dwelling;kgCO2eq/m2/yr;A;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2
CSTB_DPE;Constant;France;Collective_dwelling;kgCO2eq/m2/yr;B;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7
CSTB_DPE;Constant;France;Collective_dwelling;kgCO2eq/m2/yr;C;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6
CSTB_DPE;Constant;France;Collective_dwelling;kgCO2eq/m2/yr;D;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30
CSTB_DPE;Constant;France;Collective_dwelling;kgCO2eq/m2/yr;E;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8
CSTB_DPE;Constant;France;Collective_dwelling;kgCO2eq/m2/yr;F;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4
CSTB_DPE;Constant;France;Collective_dwelling;kgCO2eq/m2/yr;G;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93
CSTB_DPE;Constant;France;Individual_dwelling;kgCO2eq/m2/yr;A;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2
CSTB_DPE;Constant;France;Individual_dwelling;kgCO2eq/m2/yr;B;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7
CSTB_DPE;Constant;France;Individual_dwelling;kgCO2eq/m2/yr;C;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6
CSTB_DPE;Constant;France;Individual_dwelling;kgCO2eq/m2/yr;D;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30
CSTB_DPE;Constant;France;Individual_dwelling;kgCO2eq/m2/yr;E;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8;44.8
CSTB_DPE;Constant;France;Individual_dwelling;kgCO2eq/m2/yr;F;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4;63.4
CSTB_DPE;Constant;France;Individual_dwelling;kgCO2eq/m2/yr;G;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93
CSTB_DPE;Half;France;Collective_dwelling;kgCO2eq/m2/yr;A;2.2;2.16333333333333;2.12666666666667;2.09;2.05333333333333;2.01666666666667;1.98;1.94333333333333;1.90666666666667;1.87;1.83333333333333;1.79666666666667;1.76;1.72333333333333;1.68666666666667;1.65;1.61333333333333;1.57666666666667;1.54;1.50333333333333;1.46666666666667;1.43;1.39333333333333;1.35666666666667;1.32;1.28333333333333;1.24666666666667;1.21;1.17333333333333;1.13666666666667;1.1
CSTB_DPE;Half;France;Collective_dwelling;kgCO2eq/m2/yr;B;6.7;6.58833333333333;6.47666666666667;6.365;6.25333333333333;6.14166666666667;6.03;5.91833333333334;5.80666666666667;5.695;5.58333333333334;5.47166666666667;5.36;5.24833333333334;5.13666666666667;5.025;4.91333333333334;4.80166666666667;4.69000000000001;4.57833333333334;4.46666666666667;4.35500000000001;4.24333333333334;4.13166666666667;4.02000000000001;3.90833333333334;3.79666666666667;3.68500000000001;3.57333333333334;3.46166666666667;3.35
CSTB_DPE;Half;France;Collective_dwelling;kgCO2eq/m2/yr;C;15.6;15.34;15.08;14.82;14.56;14.3;14.04;13.78;13.52;13.26;13;12.74;12.48;12.22;11.96;11.7;11.44;11.18;10.92;10.66;10.4;10.14;9.88;9.62;9.36;9.1;8.84000000000001;8.58000000000001;8.32000000000001;8.06000000000001;7.8
CSTB_DPE;Half;France;Collective_dwelling;kgCO2eq/m2/yr;D;30;29.5;29;28.5;28;27.5;27;26.5;26;25.5;25;24.5;24;23.5;23;22.5;22;21.5;21;20.5;20;19.5;19;18.5;18;17.5;17;16.5;16;15.5;15
CSTB_DPE;Half;France;Collective_dwelling;kgCO2eq/m2/yr;E;44.8;44.0533333333333;43.3066666666667;42.56;41.8133333333333;41.0666666666666;40.32;39.5733333333333;38.8266666666666;38.08;37.3333333333333;36.5866666666666;35.84;35.0933333333333;34.3466666666666;33.6;32.8533333333333;32.1066666666666;31.3599999999999;30.6133333333333;29.8666666666666;29.1199999999999;28.3733333333333;27.6266666666666;26.8799999999999;26.1333333333333;25.3866666666666;24.64;23.8933333333333;23.1466666666666;22.4
CSTB_DPE;Half;France;Collective_dwelling;kgCO2eq/m2/yr;F;63.4;62.3433333333333;61.2866666666667;60.23;59.1733333333333;58.1166666666667;57.06;56.0033333333333;54.9466666666667;53.89;52.8333333333333;51.7766666666667;50.72;49.6633333333334;48.6066666666667;47.55;46.4933333333334;45.4366666666667;44.38;43.3233333333334;42.2666666666667;41.21;40.1533333333334;39.0966666666667;38.04;36.9833333333334;35.9266666666667;34.87;33.8133333333334;32.7566666666667;31.7
CSTB_DPE;Half;France;Collective_dwelling;kgCO2eq/m2/yr;G;93;91.45;89.9;88.35;86.8;85.25;83.7;82.15;80.6;79.05;77.5;75.95;74.4;72.85;71.3;69.75;68.2;66.65;65.1000000000001;63.5500000000001;62.0000000000001;60.4500000000001;58.9000000000001;57.3500000000001;55.8000000000001;54.2500000000001;52.7000000000001;51.1500000000001;49.6000000000001;48.0500000000001;46.5
CSTB_DPE;Half;France;Individual_dwelling;kgCO2eq/m2/yr;A;2.2;2.16333333333333;2.12666666666667;2.09;2.05333333333333;2.01666666666667;1.98;1.94333333333333;1.90666666666667;1.87;1.83333333333333;1.79666666666667;1.76;1.72333333333333;1.68666666666667;1.65;1.61333333333333;1.57666666666667;1.54;1.50333333333333;1.46666666666667;1.43;1.39333333333333;1.35666666666667;1.32;1.28333333333333;1.24666666666667;1.21;1.17333333333333;1.13666666666667;1.1
CSTB_DPE;Half;France;Individual_dwelling;kgCO2eq/m2/yr;B;6.7;6.58833333333333;6.47666666666667;6.365;6.25333333333333;6.14166666666667;6.03;5.91833333333334;5.80666666666667;5.695;5.58333333333334;5.47166666666667;5.36;5.24833333333334;5.13666666666667;5.025;4.91333333333334;4.80166666666667;4.69000000000001;4.57833333333334;4.46666666666667;4.35500000000001;4.24333333333334;4.13166666666667;4.02000000000001;3.90833333333334;3.79666666666667;3.68500000000001;3.57333333333334;3.46166666666667;3.35
CSTB_DPE;Half;France;Individual_dwelling;kgCO2eq/m2/yr;C;15.6;15.34;15.08;14.82;14.56;14.3;14.04;13.78;13.52;13.26;13;12.74;12.48;12.22;11.96;11.7;11.44;11.18;10.92;10.66;10.4;10.14;9.88;9.62;9.36;9.1;8.84000000000001;8.58000000000001;8.32000000000001;8.06000000000001;7.8
CSTB_DPE;Half;France;Individual_dwelling;kgCO2eq/m2/yr;D;30;29.5;29;28.5;28;27.5;27;26.5;26;25.5;25;24.5;24;23.5;23;22.5;22;21.5;21;20.5;20;19.5;19;18.5;18;17.5;17;16.5;16;15.5;15
CSTB_DPE;Half;France;Individual_dwelling;kgCO2eq/m2/yr;E;44.8;44.0533333333333;43.3066666666667;42.56;41.8133333333333;41.0666666666666;40.32;39.5733333333333;38.8266666666666;38.08;37.3333333333333;36.5866666666666;35.84;35.0933333333333;34.3466666666666;33.6;32.8533333333333;32.1066666666666;31.3599999999999;30.6133333333333;29.8666666666666;29.1199999999999;28.3733333333333;27.6266666666666;26.8799999999999;26.1333333333333;25.3866666666666;24.64;23.8933333333333;23.1466666666666;22.4
CSTB_DPE;Half;France;Individual_dwelling;kgCO2eq/m2/yr;F;63.4;62.3433333333333;61.2866666666667;60.23;59.1733333333333;58.1166666666667;57.06;56.0033333333333;54.9466666666667;53.89;52.8333333333333;51.7766666666667;50.72;49.6633333333334;48.6066666666667;47.55;46.4933333333334;45.4366666666667;44.38;43.3233333333334;42.2666666666667;41.21;40.1533333333334;39.0966666666667;38.04;36.9833333333334;35.9266666666667;34.87;33.8133333333334;32.7566666666667;31.7
CSTB_DPE;Half;France;Individual_dwelling;kgCO2eq/m2/yr;G;93;91.45;89.9;88.35;86.8;85.25;83.7;82.15;80.6;79.05;77.5;75.95;74.4;72.85;71.3;69.75;68.2;66.65;65.1000000000001;63.5500000000001;62.0000000000001;60.4500000000001;58.9000000000001;57.3500000000001;55.8000000000001;54.2500000000001;52.7000000000001;51.1500000000001;49.6000000000001;48.0500000000001;46.5
CSTB_DPE;Quarter;France;Collective_dwelling;kgCO2eq/m2/yr;A;2.2;2.145;2.09;2.035;1.98;1.925;1.87;1.815;1.76;1.705;1.65;1.595;1.54;1.485;1.43;1.375;1.32;1.265;1.21;1.155;1.1;1.045;0.99;0.935;0.88;0.825;0.77;0.715;0.66;0.605;0.55
CSTB_DPE;Quarter;France;Collective_dwelling;kgCO2eq/m2/yr;B;6.7;6.5325;6.365;6.1975;6.03;5.8625;5.695;5.5275;5.36;5.1925;5.025;4.8575;4.69;4.5225;4.355;4.1875;4.02;3.8525;3.685;3.5175;3.35;3.1825;3.015;2.8475;2.68;2.5125;2.345;2.1775;2.01;1.8425;1.675
CSTB_DPE;Quarter;France;Collective_dwelling;kgCO2eq/m2/yr;C;15.6;15.21;14.82;14.43;14.04;13.65;13.26;12.87;12.48;12.09;11.7;11.31;10.92;10.53;10.14;9.75;9.36;8.97;8.58;8.19;7.8;7.41;7.02;6.63;6.24;5.85;5.46;5.07;4.68;4.29;3.9
CSTB_DPE;Quarter;France;Collective_dwelling;kgCO2eq/m2/yr;D;30;29.25;28.5;27.75;27;26.25;25.5;24.75;24;23.25;22.5;21.75;21;20.25;19.5;18.75;18;17.25;16.5;15.75;15;14.25;13.5;12.75;12;11.25;10.5;9.75;9;8.25;7.5
CSTB_DPE;Quarter;France;Collective_dwelling;kgCO2eq/m2/yr;E;44.8;43.68;42.56;41.44;40.32;39.2;38.08;36.96;35.84;34.72;33.6;32.48;31.36;30.24;29.12;28;26.88;25.76;24.64;23.52;22.4;21.28;20.16;19.04;17.92;16.8;15.68;14.56;13.44;12.32;11.2
CSTB_DPE;Quarter;France;Collective_dwelling;kgCO2eq/m2/yr;F;63.4;61.815;60.23;58.645;57.06;55.475;53.89;52.305;50.72;49.135;47.55;45.965;44.38;42.795;41.21;39.625;38.04;36.455;34.87;33.285;31.7;30.115;28.53;26.945;25.36;23.775;22.19;20.605;19.02;17.435;15.85
CSTB_DPE;Quarter;France;Collective_dwelling;kgCO2eq/m2/yr;G;93;90.675;88.35;86.025;83.7;81.375;79.05;76.725;74.4;72.075;69.75;67.425;65.1;62.775;60.45;58.125;55.8;53.475;51.15;48.825;46.5;44.175;41.85;39.525;37.2;34.875;32.55;30.225;27.9;25.575;23.25
CSTB_DPE;Quarter;France;Individual_dwelling;kgCO2eq/m2/yr;A;2.2;2.145;2.09;2.035;1.98;1.925;1.87;1.815;1.76;1.705;1.65;1.595;1.54;1.485;1.43;1.375;1.32;1.265;1.21;1.155;1.1;1.045;0.99;0.935;0.88;0.825;0.77;0.715;0.66;0.605;0.55
CSTB_DPE;Quarter;France;Individual_dwelling;kgCO2eq/m2/yr;B;6.7;6.5325;6.365;6.1975;6.03;5.8625;5.695;5.5275;5.36;5.1925;5.025;4.8575;4.69;4.5225;4.355;4.1875;4.02;3.8525;3.685;3.5175;3.35;3.1825;3.015;2.8475;2.68;2.5125;2.345;2.1775;2.01;1.8425;1.675
CSTB_DPE;Quarter;France;Individual_dwelling;kgCO2eq/m2/yr;C;15.6;15.21;14.82;14.43;14.04;13.65;13.26;12.87;12.48;12.09;11.7;11.31;10.92;10.53;10.14;9.75;9.36;8.97;8.58;8.19;7.8;7.41;7.02;6.63;6.24;5.85;5.46;5.07;4.68;4.29;3.9
CSTB_DPE;Quarter;France;Individual_dwelling;kgCO2eq/m2/yr;D;30;29.25;28.5;27.75;27;26.25;25.5;24.75;24;23.25;22.5;21.75;21;20.25;19.5;18.75;18;17.25;16.5;15.75;15;14.25;13.5;12.75;12;11.25;10.5;9.75;9;8.25;7.5
CSTB_DPE;Quarter;France;Individual_dwelling;kgCO2eq/m2/yr;E;44.8;43.68;42.56;41.44;40.32;39.2;38.08;36.96;35.84;34.72;33.6;32.48;31.36;30.24;29.12;28;26.88;25.76;24.64;23.52;22.4;21.28;20.16;19.04;17.92;16.8;15.68;14.56;13.44;12.32;11.2
CSTB_DPE;Quarter;France;Individual_dwelling;kgCO2eq/m2/yr;F;63.4;61.815;60.23;58.645;57.06;55.475;53.89;52.305;50.72;49.135;47.55;45.965;44.38;42.795;41.21;39.625;38.04;36.455;34.87;33.285;31.7;30.115;28.53;26.945;25.36;23.775;22.19;20.605;19.02;17.435;15.85
CSTB_DPE;Quarter;France;Individual_dwelling;kgCO2eq/m2/yr;G;93;90.675;88.35;86.025;83.7;81.375;79.05;76.725;74.4;72.075;69.75;67.425;65.1;62.775;60.45;58.125;55.8;53.475;51.15;48.825;46.5;44.175;41.85;39.525;37.2;34.875;32.55;30.225;27.9;25.575;23.25
