Model,Scenario,Region,Variable,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
CSTB,Constant,France,Collective_dwelling,Number of dwelling,13950.0,18450.0,19350.0,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5,371812.5
CSTB,Constant,France,Collective_dwelling,Surface in m2,809100.0,1070100.0,1122300.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0,21565125.0
CSTB,Constant,France,Individual_dwelling,Number of dwelling,17050.0,22550.000000000004,23650.000000000004,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006,454437.50000000006
CSTB,Constant,France,Individual_dwelling,Surface in m2,1756150.0,2322650.0000000005,2435950.0000000005,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001,46807062.50000001
CSTB,Constant,France,Residential_dwelling,Number of dwelling,31000.0,41000.0,43000.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0,826250.0
CSTB,Cum_Constant,France,Residential_dwelling,Number of dwelling,31000.0,72000.0,115000.0,941250.0,1767500.0,2593750.0,3420000.0,4246250.0,5072500.0,5898750.0,6725000.0,7551250.0,8377500.0,9203750.0,10030000.0,10856250.0,11682500.0,12508750.0,13335000.0,14161250.0,14987500.0,15813750.0,16640000.0,17466250.0,18292500.0,19118750.0,19945000.0,20771250.0,21597500.0,22423750.0,23250000.0
CSTB,Cum_Linear,France,Residential_dwelling,Number of dwelling,31000.0,72000.0,115000.0,174731.34452706343,291234.0179897108,464508.0203879422,694553.3517217576,981370.011991157,1324958.00119614,1725317.3193367075,2182447.966412858,2696349.942424593,3267023.2473719125,3894467.8812548155,4578683.844073303,5319671.135827375,6117429.75651703,6971959.706142268,7883260.984703092,8851333.592199499,9876177.528631488,10957792.793999063,12096179.388302222,13291337.311540965,14543266.563715292,15851967.144825203,17217439.0548707,18639682.29385178,20118696.86176844,21654482.758620687,23247039.98440852
CSTB,Cum_Plateau,France,Residential_dwelling,Number of dwelling,31000.0,72000.0,115000.0,182932.788926021,316595.233507773,515987.333745256,781109.0896384701,1111960.5011874153,1508541.5683920917,1970852.2912524987,2498892.669768637,3092662.7039405066,3752162.393768106,4477391.7392514385,5268350.7403905,6125039.397185294,7047457.709635817,8035605.677742074,9089483.30150406,10209090.580921777,11394427.515995225,12579764.451068673,13765101.386142122,14950438.321215572,16135775.256289022,17321112.19136247,18506449.12643592,19691786.06150937,20877122.99658282,22062459.93165627,23247796.86672972
CSTB,Linear,France,Collective_dwelling,Number of dwelling,13950.0,18450.0,19350.0,26879.10503717854,52426.20305819133,77973.30107920413,103520.39910021694,129067.49712122974,154614.5951422424,180161.69316325538,205708.7911842679,231255.88920528072,256802.98722629374,282350.0852473064,307897.1832683194,333444.28128933226,358991.37931034504,384538.477331357,410085.5753523707,435632.6733733831,461179.7713943951,486726.86941540876,512273.9674364216,537821.0654574344,563368.1634784472,588915.2614994601,614462.3595204729,640009.4575414874,665556.5555624961,691103.6535835114,716650.751604525
CSTB,Linear,France,Collective_dwelling,Surface in m2,809100.0,1070100.0,1122300.0,1558988.0921563553,3040719.777375097,4522451.4625938395,6004183.147812583,7485914.833031325,8967646.51825006,10449378.203468813,11931109.888687538,13412841.573906282,14894573.259125037,16376304.94434377,17858036.629562527,19339768.31478127,20821500.00000001,22303231.685218707,23784963.3704375,25266695.05565622,26748426.740874916,28230158.42609371,29711890.111312453,31193621.796531193,32675353.48174994,34157085.16696869,35638816.85218743,37120548.53740627,38602280.22262477,40084011.90784366,41565743.59306245
CSTB,Linear,France,Individual_dwelling,Number of dwelling,17050.0,22550.000000000004,23650.000000000004,32852.23948988488,64076.47040445607,95300.70131902727,126524.93223359849,157749.1631481697,188973.39406274073,220197.62497731214,251421.855891883,282646.08680645423,313870.3177210257,345094.5486355967,376318.7795501682,407543.0104647394,438767.24137931067,469991.4722938808,501215.7032084531,532439.9341230239,563664.165037594,594888.3959521663,626112.6268667375,657336.8577813087,688561.08869588,719785.3196104512,751009.5505250224,782233.7814395957,813458.0123541618,844682.2432687362,875906.4741833084
CSTB,Linear,France,Individual_dwelling,Surface in m2,1756150.0,2322650.0000000005,2435950.0000000005,3383780.6674581426,6599876.451658975,9815972.23585981,13032068.020060645,16248163.80426148,19464259.588462293,22680355.37266315,25896451.15686395,29112546.941064786,32328642.72526565,35544738.50946646,38760834.293667324,41976930.077868156,45193025.862068996,48409121.646269724,51625217.43047067,54841313.21467146,58057408.99887218,61273504.78307313,64489600.56727396,67705696.35147479,70921792.13567564,74137887.91987647,77353983.70407732,80570079.48827836,83786175.27247867,87002271.05667983,90218366.84088077
CSTB,Linear,France,Residential_dwelling,Number of dwelling,31000.0,41000.0,43000.0,59731.34452706342,116502.67346264739,173274.0023982314,230045.3313338154,286816.6602693994,343587.9892049831,400359.3181405675,457130.64707615087,513901.9760117349,570673.3049473194,627444.633882903,684215.9628184875,740987.2917540716,797758.6206896557,854529.9496252378,911301.2785608238,968072.6074964069,1024843.9364319891,1081615.265367575,1138386.594303159,1195157.923238743,1251929.2521743271,1308700.5811099112,1365471.9100454953,1422243.238981083,1479014.5679166578,1535785.8968522474,1592557.2257878333
CSTB,Plateau,France,Collective_dwelling,Number of dwelling,13950.0,18450.0,19350.0,30569.75501670945,60148.10006178843,89726.44510686735,119304.79015194633,148883.13519702537,178461.48024210436,208039.8252871832,237618.17033226235,267196.5153773413,296774.8604224198,326353.2054674994,355931.5505125777,385509.8955576573,415088.2406027356,444666.58564781555,474244.93069289386,503823.2757379722,533401.6207830518,533401.6207830518,533401.6207830518,533401.6207830526,533401.6207830526,533401.6207830526,533401.6207830526,533401.6207830526,533401.6207830526,533401.6207830526,533401.6207830526
CSTB,Plateau,France,Collective_dwelling,Surface in m2,809100.0,1070100.0,1122300.0,1773045.790969148,3488589.8035837286,5204133.816198306,6919677.828812887,8635221.841427471,10350765.854042053,12066309.866656626,13781853.879271217,15497397.891885795,17212941.904500347,18928485.917114966,20644029.929729506,22359573.94234412,24075117.954958666,25790661.9675733,27506205.980187844,29221749.992802385,30937294.005417004,30937294.005417004,30937294.005417004,30937294.005417053,30937294.005417053,30937294.005417053,30937294.005417053,30937294.005417053,30937294.005417053,30937294.005417053,30937294.005417053
CSTB,Plateau,France,Individual_dwelling,Number of dwelling,17050.0,22550.000000000004,23650.000000000004,37363.03390931155,73514.34451996363,109665.65513061565,145816.96574126775,181968.2763519199,218119.586962572,254270.89757322392,290422.20818387624,326573.51879452827,362724.8294051798,398876.1400158326,435027.4506264839,471178.76123713667,507330.07184778794,543481.3824584413,579632.6930690926,615784.0036797439,651935.3142903966,651935.3142903966,651935.3142903966,651935.3142903977,651935.3142903977,651935.3142903977,651935.3142903977,651935.3142903977,651935.3142903977,651935.3142903977,651935.3142903977
CSTB,Plateau,France,Individual_dwelling,Surface in m2,1756150.0,2322650.0000000005,2435950.0000000005,3848392.492659089,7571977.485556254,11295562.47845341,15019147.471350579,18742732.46424775,22466317.457144916,26189902.450042065,29913487.44293925,33637072.43583641,37360657.42873351,41084242.42163076,44807827.41452784,48531412.407425076,52254997.40032216,55978582.393219456,59702167.386116534,63425752.37901362,67149337.37191086,67149337.37191086,67149337.37191086,67149337.37191096,67149337.37191096,67149337.37191096,67149337.37191096,67149337.37191096,67149337.37191096,67149337.37191096,67149337.37191096
CSTB,Plateau,France,Residential_dwelling,Number of dwelling,31000.0,41000.0,43000.0,67932.78892602099,133662.44458175206,199392.10023748298,265121.7558932141,330851.41154894524,396581.06720467634,462310.7228604071,528040.3785161385,593770.0341718695,659499.6898275996,725229.3454833319,790959.0011390615,856688.6567947939,922418.3124505235,988147.9681062568,1053877.6237619864,1119607.279417716,1185336.9350734483,1185336.9350734483,1185336.9350734483,1185336.9350734502,1185336.9350734502,1185336.9350734502,1185336.9350734502,1185336.9350734502,1185336.9350734502,1185336.9350734502,1185336.9350734502
